No.,Package,obs repository,obs commit id,obs standard_riscv64 status,obs advanced_riscv64 status,gitee master,gitee openEuler-22.03-LTS,gitee openEuler-22.03-LTS-Next,Lastest Update,Upgrade Priority,has rpm history in standard_riscv64,rpm version in standard_riscv64,has rpm history in advanced_riscv64,rpm version in advanced_riscv64
1,A-Tune,git@gitee.com:src-openeuler/A-Tune.git,315c416e285a3b2fa37f70b05e45f84bdd4c591c,scheduled,disabled,9f45bbf2ddaf6dabce84cb059b84669af98d00cb,59c2af634cdedcb86b9df22e562b644d40dba971,f2e738a717a2f8844935df577d7a65dd4b812e9d,2,4,No,None,No,None
2,BareBonesBrowserLaunch,git@gitee.com:src-openeuler/BareBonesBrowserLaunch.git,e22e6f4ad6805c1ed974fcbeeb0157f0548941e2,unresolvable,disabled,e22e6f4ad6805c1ed974fcbeeb0157f0548941e2,e22e6f4ad6805c1ed974fcbeeb0157f0548941e2,e22e6f4ad6805c1ed974fcbeeb0157f0548941e2,0,1,No,None,No,None
3,CUnit,git@gitee.com:src-openeuler/CUnit.git,0e08effb40b3e65c8a0e03cb6a1c1e9e47c13e67,scheduled,disabled,3502df750cef8371010d5827a65167613327252b,0e08effb40b3e65c8a0e03cb6a1c1e9e47c13e67,0e08effb40b3e65c8a0e03cb6a1c1e9e47c13e67,1,2,Yes,CUnit-2.1.3-22.oe1.src.rpm,No,None
4,ComputeLibrary,git@gitee.com:src-openeuler/ComputeLibrary.git,94553c00131951949ae725930ecd0cef51cc476b,excluded,disabled,94553c00131951949ae725930ecd0cef51cc476b,94553c00131951949ae725930ecd0cef51cc476b,94553c00131951949ae725930ecd0cef51cc476b,0,1,No,None,No,None
5,Cython,git@gitee.com:src-openeuler/Cython.git,04fac626d12b7f7b0544b75eb073325284887188,succeeded,disabled,04fac626d12b7f7b0544b75eb073325284887188,968dfe9fab13968ca82eea5c845712061b9e2735,968dfe9fab13968ca82eea5c845712061b9e2735,2,2,Yes,Cython-0.29.25-1.oe1.src.rpm,No,None
6,GConf2,git@gitee.com:src-openeuler/GConf2.git,1e850e39a714762b06c05a7177cea1aa2ae6d345,blocked,disabled,1424b7e494b984c3d8f81cf9295aee5a75b4aea7,1424b7e494b984c3d8f81cf9295aee5a75b4aea7,1424b7e494b984c3d8f81cf9295aee5a75b4aea7,1,2,Yes,GConf2-3.2.6-25.oe1.src.rpm,No,None
7,GeoIP,git@gitee.com:src-openeuler/GeoIP.git,f428c97972dccb00889667b1fd14df85b22ced28,scheduled,disabled,f428c97972dccb00889667b1fd14df85b22ced28,f428c97972dccb00889667b1fd14df85b22ced28,f428c97972dccb00889667b1fd14df85b22ced28,0,1,Yes,GeoIP-1.6.12-6.oe1.src.rpm,No,None
8,GeoIP-GeoLite-data,git@gitee.com:src-openeuler/GeoIP-GeoLite-data.git,e6b746f358818605231f34b82c4bbcc02ea4e38c,succeeded,disabled,e6b746f358818605231f34b82c4bbcc02ea4e38c,e6b746f358818605231f34b82c4bbcc02ea4e38c,e6b746f358818605231f34b82c4bbcc02ea4e38c,0,1,Yes,GeoIP-GeoLite-data-2018.06-3.oe1.src.rpm,No,None
9,GraphicsMagick,git@gitee.com:src-openeuler/GraphicsMagick.git,b2ba8b1918f26f5dde7562fbc807c7193312198f,succeeded,disabled,b2ba8b1918f26f5dde7562fbc807c7193312198f,b2ba8b1918f26f5dde7562fbc807c7193312198f,b2ba8b1918f26f5dde7562fbc807c7193312198f,0,1,Yes,GraphicsMagick-1.3.30-8.oe1.src.rpm,No,None
10,HdrHistogram,git@gitee.com:src-openeuler/HdrHistogram.git,c077d52f48b0a209b579705cdde01f9a6fbc0589,unresolvable,disabled,c077d52f48b0a209b579705cdde01f9a6fbc0589,3e2b9e910f5979099b2a86c196a3ddb65c8b7b29,3e2b9e910f5979099b2a86c196a3ddb65c8b7b29,2,2,No,None,No,None
11,HikariCP,git@gitee.com:src-openeuler/HikariCP.git,6b1e239bec68ee3cb7546f1f2e32a60ff220fd04,unresolvable,disabled,6b1e239bec68ee3cb7546f1f2e32a60ff220fd04,69a932153b87c563b469e31bc605e8e329d938c8,69a932153b87c563b469e31bc605e8e329d938c8,2,2,No,None,No,None
12,ImageMagick,git@gitee.com:src-openeuler/ImageMagick.git,1353e602052e17a0eb06cac99c17841623d8a942,succeeded,succeeded,1353e602052e17a0eb06cac99c17841623d8a942,69ed5f3dae22f8e7d744a59c72edbf9c65d234d4,9ddd8e1614c658bc0cc2243a15d1b2d2d465ad1f,2,3,Yes,ImageMagick-6.9.10.67-25.oe1.src.rpm,Yes,ImageMagick-6.9.10.67-25.oe1.src.rpm
13,Judy,git@gitee.com:src-openeuler/Judy.git,b7e790b102c12f44b53b8ff4f651270016abe540,succeeded,disabled,b7e790b102c12f44b53b8ff4f651270016abe540,b7e790b102c12f44b53b8ff4f651270016abe540,b7e790b102c12f44b53b8ff4f651270016abe540,0,1,Yes,Judy-1.0.5-19.oe1.src.rpm,No,None
14,LibRaw,git@gitee.com:src-openeuler/LibRaw.git,0131c6f68b45d535b02a68327cac54ae9dc84003,succeeded,disabled,0131c6f68b45d535b02a68327cac54ae9dc84003,0131c6f68b45d535b02a68327cac54ae9dc84003,0131c6f68b45d535b02a68327cac54ae9dc84003,0,1,Yes,LibRaw-0.20.2-4.oe1.src.rpm,No,None
15,ModemManager,git@gitee.com:src-openeuler/ModemManager.git,261aa49624e787ecdfde0ad4c507b01fdbf9e46e,blocked,disabled,261aa49624e787ecdfde0ad4c507b01fdbf9e46e,261aa49624e787ecdfde0ad4c507b01fdbf9e46e,261aa49624e787ecdfde0ad4c507b01fdbf9e46e,0,1,No,None,No,None
16,NetworkManager,git@gitee.com:src-openeuler/NetworkManager.git,2ad53b9b15706ecf7e67fe96b63c02b75cd03bed,blocked,disabled,70db93cbf8a0100492dab077085442577b678da0,df33d653bc0652d9c67d1e32e369cd6681b01a87,df33d653bc0652d9c67d1e32e369cd6681b01a87,2,3,No,None,No,None
17,NetworkManager-libreswan,git@gitee.com:src-openeuler/NetworkManager-libreswan.git,99cf3177ab974ca17da8e92351c67b8b5b752af6,scheduled,disabled,190e05b942a60860ee0c8133bb51372acd17b8c8,b13c694b65210bec86ae4ef6e2f89d30a79da53b,b13c694b65210bec86ae4ef6e2f89d30a79da53b,1,3,Yes,NetworkManager-libreswan-1.2.4-8.oe1.src.rpm,No,None
18,ORBit2,git@gitee.com:src-openeuler/ORBit2.git,d98fd43068b12835cd349246b90473ff0315982e,succeeded,disabled,2b44c2d7cb78dd5c67bf309c43a21bc0222a22af,dfc760956e5f7a0f2c3ce7d01b68bb46aa63c72f,dfc760956e5f7a0f2c3ce7d01b68bb46aa63c72f,2,3,Yes,ORBit2-2.14.19-24.oe1.src.rpm,No,None
